pitcher_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
667755,2053,-0.012874437408292524,-0.006364321735695883,-0.007918847567439125,-0.004955589840853398,0.6906444689992721,-0.01930332270025483,-0.0034506920984679625,-0.103530779100617
592454,934,-0.0126174530682437,-0.006664147040830993,-0.00791327585823865,-0.004704177210005051,0.6905890706571964,-0.020342001813613404,-0.0039781177760517105,-0.09534643157857196
502043,1755,-0.009569532093125624,-0.006927764707357864,-0.007898473360705838,-0.0016710587324197872,0.6876870329103978,-0.020064517323387324,-0.00402622910773815,-0.09040019570067152
681867,960,-0.013561001300248027,-0.0057313770977750695,-0.007789190565790265,-0.005771810734457762,0.7105533879673477,-0.021871753422946692,-0.0033244532035990896,-0.09969458642605253
641149,69,-0.013449378913859134,-0.007483438691390452,-0.007777445835864484,-0.005671933077994648,0.5879784644957333,-0.0298644305596009,-0.005374042088828816,-0.07491669657526213
664776,235,-0.014653767188386032,-0.006491611538800134,-0.0077181562407456755,-0.006935610947640358,0.6736066854077747,-0.028742740989590218,-0.002118888634161113,-0.06924568987770144
657044,801,-0.009580260114604593,-0.006016209024393758,-0.007635656918053507,-0.001944603196551087,0.7024214937396387,-0.014416401765159537,-0.0027438380830068464,-0.10093962875977631
605483,1721,-0.012760339866554643,-0.006639445177074498,-0.007525678163796799,-0.005234661702757844,0.5676966366946488,-0.02631001947759844,-0.0042630473976633465,-0.07511343735954586
667463,876,-0.013698318259389743,-0.005806790427187246,-0.007510742294498568,-0.006187575964891176,0.6861103368721071,-0.01854682440290958,-0.004387986750690946,-0.10356293847598068
669424,99,-0.012890254985286963,-0.005634768769655824,-0.007480986787419017,-0.005409268197867946,0.67898098593506,-0.02500326187847824,-0.0036152800543250113,-0.1009500912901881
622766,101,-0.011997113541800738,-0.006412082011098153,-0.007451859176390858,-0.00454525436540988,0.6660188188886884,-0.02346542992288443,-0.0016343311835449528,-0.08002653417273331
518876,2343,-0.011096725613176567,-0.005916328498240185,-0.007364888483698417,-0.003731837129478149,0.6302474407600366,-0.01900145997843467,-0.0031352771095685085,-0.09102289910090466
657277,3326,-0.013674201116756952,-0.005336611058020409,-0.007361668581599657,-0.006312532535157295,0.7302771218039155,-0.02100107807202729,-0.003096149108453512,-0.09190163380446716
808967,1872,-0.014817006005484294,-0.005925352487050317,-0.007213041057415536,-0.007603964948068759,0.62743483677649,-0.021540200868950917,-0.0024333444199199786,-0.09470153114979603
518397,577,-0.01070663950362889,-0.005832482146061299,-0.0070507062151244065,-0.0036559332885044843,0.6895119350831758,-0.015987444003196932,-0.002943863995715688,-0.10611775227641328
