batter_id,bat_speed_strikes,swing_length_strikes,swing_path_tilt_strikes,vert_attack_angle_strikes,horz_attack_angle_strikes
621311,-0.03172884134232331,-0.005979995983816588,0.06581028416848118,-0.030201100260878265,0.19796664374624698
621438,0.06506813678034659,0.03041081842198287,0.011025560420792436,0.534022278587058,-0.5725747515648543
621439,0.03457678564719482,-0.00874748352469054,-0.2613931185336792,-0.32701045420789426,0.1890856111655291
621466,0.031148405677054167,0.005173735706205841,-0.00853898841864282,-0.011660598821558064,-0.04179208989476406
621493,0.023501754776724865,0.036516896159634195,0.08566843657683743,0.4227201884713004,0.043307097446757446
621512,0.06322440316531035,0.01435556270554596,0.059009907505787995,-0.010479414644224872,-0.2829741791901788
621545,0.052475412965736004,0.013465218603487922,0.16838830507243058,0.1129801453828989,-0.28382627671574373
621550,0.002788498622227405,-0.014981902130052285,0.02964835784838734,-0.17533468889029666,0.24685453045717096
621563,-0.017240082017841378,0.013020164393178088,-0.06128605046042667,0.2234012569845914,-0.15564800503338524
621566,-0.23985476787937124,-0.011599302326874733,0.06072337222200385,-0.4514577883776057,-0.08461402989346394
622268,0.0010939613839219737,0.00024963098704254663,-0.0003216385374763221,0.0027622878803545384,-0.012170354163974743
622534,0.06318386734082182,0.0035109811662789917,0.01633709758801959,-0.39738023321990634,0.08731263254446299
622569,-0.01425981722456135,0.004877310198282639,0.014073993935356353,-0.018553232892519617,-0.21172476730674142
622761,0.06789640045526547,0.009420855849530348,0.048469758058099104,0.15999582757941042,0.04359146682580394
623168,-0.005007248792702163,-0.010039897668790414,0.0687093223361001,0.06878984791602971,0.03950703576228627
623520,0.0027368840591852194,-0.015171798489307322,0.1103546439190964,-0.15734816520782988,0.2620168737086524
623912,-0.11957734269176323,0.015030504683480102,-0.06541626629333036,0.12410267047964706,-0.18608210870432226
623993,-0.007972808019898952,-0.012141086595907433,0.25954396728514467,-0.21853749224664323,0.5271355527341932
624413,0.07787192039103223,0.03513194069626369,-0.14499581146817386,0.33872611799750385,-0.4744453427272844
624415,0.04718226701605362,-0.03913212831846807,0.1151934562944327,-0.6843607673839679,0.8191910679046576
624424,-0.14957688747819356,-0.009003334678938902,0.14693813775552605,-0.2419129709326148,0.4706284673556855
624428,-0.06982918877688453,-0.01697215023235283,-0.09501073577791617,-0.08221411829137366,0.16571693858687048
624431,-0.008631254393242584,-0.0015402303193530144,-0.0822472538746878,0.1132788848305867,0.09308030737559678
624503,-0.08861320174137702,-0.02667659098910183,0.13962939456819382,-0.17288602913097023,0.16498766735057568
624512,-0.014700789450799747,0.017187949882182352,0.01484822342143234,-0.03392208349849463,-0.26311361665128297
624585,0.18714239398457475,-0.006685900432711127,0.0843381139204828,-0.7597119505396287,0.3706227354309027
624641,-0.17461557557479016,0.06215528128196088,-0.12731899290289334,0.9636721528439105,-1.4409878419683781
628451,-0.07770802565612069,0.007772660298082843,-0.021596802918464317,0.0456360187091625,-0.34730826274065674
630105,0.2791483562544469,0.01079548013804219,0.011708082905571153,-0.13736300208313051,-0.27165957537297764
640459,-0.01326182004549713,-0.004046029192747634,-0.00510946015037988,-0.01812661386756253,0.020616699744142316
640492,-0.0077351112698985985,-0.011714972113285675,0.008114523907777877,-0.155182906853519,0.13463630467815865
640902,0.006061904782479402,0.0037436834612549143,-0.04338007323027956,-0.01393893933189753,0.013210652363454676
641313,0.2015223291037001,0.019484770055511018,-0.03336181635566522,0.363133101437917,-0.2511795536671633
641343,0.11231768822147364,-0.020195339532036748,0.06173411253077459,-0.4937785174873128,0.6392618849692181
641355,-0.10293510992370945,-0.06293233794348786,-0.04089111629245728,-0.7804804409307529,1.119596596031697
641432,0.08065211591261559,0.026294515969215553,0.009752272050175722,0.38069972493963744,-0.4978405384743775
641487,-0.13814724381344562,-0.03371451178893794,0.1975394565356461,-0.6162147583421761,0.3345262289657821
641511,-0.03156253318834808,-0.0036221535580103657,0.00592791981683805,-0.03191784926196702,0.025057784098336644
641555,0.061103044959772264,0.004408429622047175,0.006175931548314182,0.05568027891174636,0.011906126411945401
641584,0.33222242547955505,0.06253996338709203,0.16716974579216554,0.8822239974781454,-0.4931231729423217
641598,0.03920253462462116,-0.016142815614032628,0.09168675351280317,-0.1649088280844201,0.7117322818674794
641645,-0.05269409726106573,-0.018346581554328792,-0.014179830681491264,-0.2424444584977041,0.34035470479403884
641658,-0.04082468482088536,-0.02123979647625233,-0.003923523883839324,-0.019264372789394225,0.0595896178720841
641680,-0.3758798633452124,0.03017861877509238,-0.24685829839825585,0.5942736259981716,-0.25592518419005744
641779,0.009192052299105127,0.002954429781374131,0.038017880638961055,0.0945823897249314,-0.11225029810722834
641856,0.010268616107058313,-0.026027544721798457,-0.01800586098886029,-0.44635640549441064,0.35665067166835196
641857,0.3077008302669688,0.045003279400366435,-0.023304866525211475,0.5041229215151277,-0.7719698080103398
641933,-0.005565266492676958,0.004799872106491729,0.08780619291515603,-0.09505304001429829,0.2763639379324313
641943,-0.12710111676508412,-0.005443784725027412,0.09416743057978522,-0.21181791030835143,0.20370960220609996
642020,-0.11603630103376258,-0.011084250796548045,0.019405269809546596,-0.019330067117449157,0.13411718498685293
642086,-0.051971079889354975,0.01696393310639347,0.030622089255543453,0.054669251036964864,-0.06450035301847273
642133,0.26613485627967426,-0.0013360044128139144,0.1101002925249178,0.2346514658900001,-0.06711934867475873
642136,0.013970237882061153,-0.000749535262076396,0.07176116744681968,0.45487755791770385,-0.16883481981128864
642180,-0.026935400239047957,-0.009901642572683675,0.0547629336216482,0.0211073599138465,-0.02620112485941254
642197,0.040092915147718275,0.007894589166161725,0.016852343402348195,0.13035823638781963,-0.23392314713500692
642201,-0.11572506219538302,-0.03249841615583331,-0.09057665770983975,-0.439540539718789,0.263229352798467
642215,0.06836617815072399,0.0175038756560787,0.07341983144167073,0.23585597430062183,-0.2775942660997957
642350,0.01565315973912563,-0.014599479400358335,0.11135350361547922,-0.23132927969905764,0.6131260316389526
642708,-0.10547242667428075,-0.020938345739657166,0.013828969425146193,-0.45586397193294337,0.8551866251178056
642715,-0.11035532273989548,-0.0074002688037984364,-0.14768387120603252,-0.43759090372724524,0.5443397300464783
