batter_id,n_swings,mean_disruption_tax,mean_spatial_distortion_tax,mean_distortion_tax,mean_selection_tax,mean_distortion_share,mean_adjusted_disruption_tax,mean_miss_distortion_tax,mean_decision_cost
596142,780,0.00042742700395474313,0.002562060297083174,0.0015877554763354198,-0.0011603284723806766,0.6527519689437212,-0.010772308058183902,-0.003909527857557502,-0.0785563115391678
687401,1613,-0.006656541208442649,0.0028045662075264943,0.001618936676127931,-0.00827547788457058,0.598940264332319,-0.018585443946596537,-0.0016850298949757133,-0.07508707154890584
686555,758,-0.012385104449503468,0.0031767652891294936,0.001621821478545462,-0.014006925928048931,0.5450840826074353,-0.019298504614300226,-0.004928665345954312,-0.10154391472839276
805373,369,-0.0007758741838942971,0.002540191974319269,0.0016299998370579263,-0.002405874020952223,0.6730894146514774,-0.011407645109388758,-0.0022009705250736304,-0.08066390971771477
666624,2045,0.00995728096055556,0.0012367419295331954,0.0016317703241462529,0.008325510636409307,0.6658871750909182,0.002405555600983993,-0.0055687497509761315,-0.08678826733583449
666158,1617,0.005997164845368277,0.00202240579057652,0.0016468374581794462,0.004350327387188831,0.6063803997508107,-0.002992355359220168,-0.0028982919582970414,-0.09224907356477367
592669,1225,0.0032825328135156775,0.0018261354364371195,0.0016626110254241552,0.0016199217880915222,0.6550626090936872,-0.008219371626173458,-0.0031157589138758866,-0.07987172528462079
642731,1235,-0.0007729723574356096,0.0031211784594308606,0.0016838019531220728,-0.002456774310557682,0.6392742353575689,-0.012828028414710873,-0.0023751476725234416,-0.07409186957643933
668709,1758,0.006550704241081408,0.002270466594908992,0.0016875835849010533,0.004863120656180355,0.6374557651203246,-0.0030818209881921456,-0.0030733858100042096,-0.09093370004091401
681351,1998,0.0028732358679679805,0.0019127502732849994,0.001707657801896,0.0011655780660719804,0.6111844176272138,-0.008297335521983216,-0.0035982403934629414,-0.07838293404429403
694728,84,0.015540923870614539,0.0014334221186735237,0.0017161642229752908,0.013824759647639248,0.4773325581921408,0.006727773502816355,-0.004384834741425163,-0.07146970916235348
664056,1862,0.0022563047474385305,0.002223784797358199,0.0017300784211822387,0.0005262263262562917,0.5161795247470358,-0.011787163598731642,-0.0023457502748987723,-0.07197063305733284
688760,127,-0.01314255622424884,0.0030421548011814524,0.0017398323053851605,-0.014882388529634,0.563580725621086,-0.023471809633856693,0.00019450153996430677,-0.07564289894741685
689414,534,-0.004318205021135448,0.0030155293608665006,0.0017605486435098268,-0.0060787536646452756,0.5630861467372459,-0.012995895521585843,-0.003550969796488978,-0.09855487073486206
650333,2556,-0.007101813207332526,0.00292391470387044,0.001762017906063839,-0.008863831113396366,0.4871481915729036,-0.018093791682725943,-0.0018082982164547572,-0.08057170610241791
664023,2785,-0.004431443992196571,0.0029140485662636747,0.0017978845681776421,-0.006229328560374212,0.5412966010933676,-0.011434158934706826,-0.0029231138661664565,-0.09320753620429206
502110,1197,-0.00023772231534684906,0.004204781158137431,0.0018042809319756084,-0.002042003247322458,0.6889287418692056,-0.007970675812876717,-0.002969453162230843,-0.0815755213412455
500743,1257,0.0010146597378744013,0.0035108865080518943,0.0018087952630340062,-0.000794135525159605,0.6515366443132675,-0.008014200588056096,-0.002144918463923099,-0.08753856384221091
670623,2350,-0.002671487686559846,0.002022171565128983,0.001831192096110295,-0.004502679782670141,0.4526529083204663,-0.015387202208389393,-0.0025919356631159685,-0.08073535649770736
669397,1116,0.0032237236575088594,0.0024007265130149536,0.001836887917315735,0.0013868357401931243,0.6476365567571077,-0.0035392657924926737,-0.0020630822099155944,-0.09400473778885195
657557,1749,0.010247328771356961,0.0017286759457255572,0.001846681117038474,0.008400647654318487,0.5540558027978281,0.0005238982296505931,-0.002679410657547257,-0.07983351471848353
676391,1702,0.01851504714715198,0.0013328317300307189,0.001865672528381387,0.016649374618770595,0.5165958939530907,0.008810836180399587,-0.0019304427125030159,-0.07650572563458255
