"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
489446,"Kirby Yates","FF",636,-0.006,0,-0.005,"Four-Seam FB"
506433,"Yu Darvish","CU",128,-0.006,-0.001,-0.005,"Curveball"
519242,"Chris Sale","SI",115,-0.006,0,-0.006,"Sinker"
542888,"Shawn Armstrong","SI",345,-0.006,0,-0.006,"Sinker"
571510,"Matthew Boyd","FF",825,-0.006,0,-0.005,"Four-Seam FB"
571882,"Derek Law","SI",103,-0.006,0,-0.006,"Sinker"
573124,"Taylor Rogers","SI",400,-0.006,0,-0.006,"Sinker"
592332,"Kevin Gausman","FF",1847,-0.006,0,-0.006,"Four-Seam FB"
592866,"Trevor Williams","FF",737,-0.006,-0.001,-0.005,"Four-Seam FB"
593958,"Eduardo Rodriguez","SI",186,-0.006,0,-0.006,"Sinker"
605135,"Chris Bassitt","FF",219,-0.006,0,-0.006,"Four-Seam FB"
605135,"Chris Bassitt","SI",1200,-0.006,-0.001,-0.005,"Sinker"
605135,"Chris Bassitt","ST",239,-0.006,-0.002,-0.005,"Sweeper"
608344,"Cole Irvin","SI",208,-0.006,0,-0.005,"Sinker"
608379,"Michael Wacha","SI",419,-0.006,0,-0.006,"Sinker"
622663,"Luis Severino","SI",640,-0.006,0,-0.005,"Sinker"
625643,"Reynaldo López","FF",709,-0.006,0,-0.006,"Four-Seam FB"
628452,"Raisel Iglesias","SI",149,-0.006,-0.001,-0.005,"Sinker"
642232,"Ryan Yarbrough","SI",262,-0.006,-0.001,-0.005,"Sinker"
645261,"Sandy Alcantara","FF",381,-0.006,0,-0.005,"Four-Seam FB"
650671,"José Quijada","FF",165,-0.006,0,-0.006,"Four-Seam FB"
650911,"Cristopher Sánchez","SI",1359,-0.006,0,-0.006,"Sinker"
656605,"Mitch Keller","FF",1019,-0.006,0,-0.006,"Four-Seam FB"
656605,"Mitch Keller","SI",590,-0.006,0,-0.006,"Sinker"
657277,"Logan Webb","FC",175,-0.006,-0.001,-0.006,"Cutter"
657514,"Brennan Bernardino","SI",393,-0.006,-0.001,-0.005,"Sinker"
657612,"Tim Hill","SI",738,-0.006,-0.001,-0.005,"Sinker"
657746,"Joe Ryan","SI",226,-0.006,0,-0.006,"Sinker"
657756,"Connor Seabold","FF",146,-0.006,0,-0.006,"Four-Seam FB"
658648,"Pedro Avila","FF",322,-0.006,0,-0.006,"Four-Seam FB"
662253,"Andrés Muñoz","FF",363,-0.006,0,-0.006,"Four-Seam FB"
663158,"Robert Suarez","FF",807,-0.006,0,-0.006,"Four-Seam FB"
663542,"Bryan Hudson","FF",342,-0.006,0,-0.006,"Four-Seam FB"
663568,"Stephen Kolek","SI",308,-0.006,0,-0.006,"Sinker"
663687,"Hogan Harris","FF",651,-0.006,0,-0.006,"Four-Seam FB"
663804,"Jackson Kowar","FF",125,-0.006,0,-0.006,"Four-Seam FB"
663903,"Brady Singer","SI",1057,-0.006,0,-0.005,"Sinker"
664139,"Ian Gibaut","FF",218,-0.006,0,-0.005,"Four-Seam FB"
664875,"Justin Lawrence","SI",397,-0.006,-0.001,-0.005,"Sinker"
665152,"Dean Kremer","SI",427,-0.006,0,-0.005,"Sinker"
665622,"Luis Medina","FF",260,-0.006,0,-0.006,"Four-Seam FB"
665622,"Luis Medina","SI",144,-0.006,0,-0.005,"Sinker"
666159,"Matt Manning","FF",250,-0.006,0,-0.006,"Four-Seam FB"
668868,"Zack Thompson","FF",240,-0.006,0,-0.006,"Four-Seam FB"
669194,"Ryne Nelson","FF",1671,-0.006,0,-0.006,"Four-Seam FB"
669203,"Corbin Burnes","SI",172,-0.006,0,-0.006,"Sinker"
669467,"Andre Pallante","FF",1101,-0.006,0,-0.005,"Four-Seam FB"
670036,"Matt Festa","FF",251,-0.006,0,-0.006,"Four-Seam FB"
671111,"Sammy Peralta","FF",118,-0.006,-0.001,-0.005,"Four-Seam FB"
671305,"Michel Otañez","FF",129,-0.006,0,-0.006,"Four-Seam FB"
671922,"Cade Smith","FF",787,-0.006,0,-0.006,"Four-Seam FB"
672335,"Cionel Pérez","FF",128,-0.006,0,-0.006,"Four-Seam FB"
673540,"Kodai Senga","FF",454,-0.006,0,-0.005,"Four-Seam FB"
674285,"Eduardo Salazar","SI",212,-0.006,-0.001,-0.006,"Sinker"
674444,"Steven Cruz","FF",192,-0.006,0,-0.006,"Four-Seam FB"
675911,"Spencer Strider","FF",906,-0.006,0,-0.006,"Four-Seam FB"
676092,"Collin Snider","FF",200,-0.006,0,-0.006,"Four-Seam FB"
676664,"JP Sears","SI",210,-0.006,-0.001,-0.006,"Sinker"
676684,"Will Vest","FF",618,-0.006,0,-0.006,"Four-Seam FB"
677958,"Kumar Rocker","FF",162,-0.006,0,-0.006,"Four-Seam FB"
677960,"Ryan Weathers","FF",417,-0.006,0,-0.006,"Four-Seam FB"
678024,"Mike Vasil","SI",272,-0.006,-0.001,-0.005,"Sinker"
